"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","69,276.72","69,282.03","69,968.32","68,611.07","171.53M","-0.01%"
"09/04/2024","69,282.03","69,185.86","69,746.73","69,108.98","175.05M","0.14%"
"08/04/2024","69,185.86","68,694.72","69,286.40","68,580.75","147.53M","0.71%"
"05/04/2024","68,694.72","69,211.04","69,211.04","68,201.42","126.57M","-0.75%"
"04/04/2024","69,211.04","67,979.45","69,283.43","67,910.98","140.58M","1.81%"
"03/04/2024","67,979.45","68,275.31","68,275.31","67,651.93","125.02M","-0.43%"
"02/04/2024","68,275.31","68,346.21","68,778.92","68,059.82","128.50M","-0.10%"
"28/03/2024","68,346.21","67,678.68","68,351.50","67,640.38","98.39M","0.99%"
"27/03/2024","67,678.68","67,409.47","67,824.76","67,216.16","106.26M","0.40%"
"26/03/2024","67,409.47","67,032.22","67,534.27","66,856.67","95.97M","0.56%"
"25/03/2024","67,032.22","67,023.29","67,288.32","66,607.61","117.26M","0.01%"
"22/03/2024","67,023.29","66,131.94","67,101.51","66,114.55","142.85M","1.35%"
"20/03/2024","66,131.94","65,607.83","66,254.57","65,561.52","314.68M","0.80%"
"19/03/2024","65,607.83","66,251.81","66,294.52","65,416.30","111.29M","-0.97%"
"18/03/2024","66,251.81","66,745.72","67,284.55","66,128.14","140.85M","-0.74%"
"15/03/2024","66,745.72","66,745.72","66,745.72","66,745.72","","-0.40%"
"14/03/2024","67,011.26","67,954.70","68,061.41","67,468.16","","-1.39%"
"13/03/2024","67,954.70","67,181.43","67,954.70","66,931.76","114.29M","1.15%"
"12/03/2024","67,181.43","67,124.67","68,147.90","67,098.25","116.14M","0.08%"
"11/03/2024","67,124.67","67,297.57","67,446.37","66,766.98","107.07M","-0.26%"
"08/03/2024","67,297.57","67,143.77","67,506.95","66,865.63","109.43M","0.23%"
"07/03/2024","67,143.77","67,122.71","67,143.77","66,521.68","100.88M","0.03%"
"06/03/2024","67,122.71","65,777.07","67,122.71","65,777.07","105.37M","2.05%"
"05/03/2024","65,777.07","66,177.64","66,209.01","65,605.56","117.89M","-0.61%"
"04/03/2024","66,177.64","66,337.43","67,292.00","66,128.87","104.80M","-0.24%"
"01/03/2024","66,337.43","66,349.81","66,562.10","65,949.29","107.91M","-0.02%"
"29/02/2024","66,349.81","65,816.62","66,542.24","65,816.62","179.06M","0.81%"
"28/02/2024","65,816.62","66,776.71","66,791.19","65,816.62","77.20M","-1.44%"
"27/02/2024","66,776.71","67,218.27","67,223.80","66,653.93","93.49M","-0.66%"
"26/02/2024","67,218.27","67,768.63","67,825.67","66,891.65","90.03M","-0.81%"
"23/02/2024","67,768.63","67,636.51","67,973.08","67,251.15","73.20M","0.20%"
"22/02/2024","67,636.51","66,557.70","67,741.37","66,551.85","116.54M","1.62%"
"21/02/2024","66,557.70","66,513.50","66,748.24","66,079.46","128.64M","0.07%"
"20/02/2024","66,513.50","67,099.90","67,099.90","66,266.18","99.01M","-0.87%"
"19/02/2024","67,099.90","67,152.57","67,370.19","66,692.51","75.63M","-0.08%"
"16/02/2024","67,152.57","66,708.03","67,478.35","66,684.47","109.70M","0.67%"
"15/02/2024","66,708.03","66,420.90","66,801.10","66,072.90","104.78M","0.43%"
"14/02/2024","66,420.90","66,490.08","66,560.79","66,066.03","101.18M","-0.10%"
"13/02/2024","66,490.08","67,202.86","67,381.93","66,452.30","94.39M","-1.06%"
"12/02/2024","67,202.86","66,853.53","67,265.19","66,545.72","94.31M","0.52%"
"09/02/2024","66,853.53","67,199.91","67,333.93","66,767.08","89.76M","-0.52%"
"08/02/2024","67,199.91","67,775.46","67,776.07","66,960.85","96.53M","-0.85%"
"07/02/2024","67,775.46","68,059.89","68,139.77","67,635.42","108.47M","-0.42%"
"06/02/2024","68,059.89","67,476.47","68,261.20","67,476.47","92.58M","0.86%"
"05/02/2024","67,476.47","67,838.80","67,919.26","67,269.31","71.62M","-0.53%"
"02/02/2024","67,838.80","67,934.27","68,941.00","67,592.30","127.42M","-0.14%"
"01/02/2024","67,934.27","68,034.46","68,034.46","66,873.54","115.10M","-0.15%"
"31/01/2024","68,034.46","68,099.80","68,117.06","67,317.87","184.22M","-0.10%"
"30/01/2024","68,099.80","67,910.18","68,372.47","67,782.45","95.76M","0.28%"
"29/01/2024","67,910.18","68,621.01","68,621.01","67,850.13","88.31M","-1.04%"
"26/01/2024","68,621.01","67,586.95","68,621.01","66,997.64","83.13M","1.53%"
"25/01/2024","67,586.95","67,952.43","68,207.81","67,501.78","109.38M","-0.54%"
"24/01/2024","67,952.43","67,019.59","68,147.51","66,892.88","109.41M","1.39%"
"23/01/2024","67,019.59","66,028.54","67,149.02","66,028.54","101.09M","1.50%"
"22/01/2024","66,028.54","66,346.30","66,398.89","65,744.40","86.32M","-0.48%"
"19/01/2024","66,346.30","66,009.28","66,643.23","65,934.21","104.47M","0.51%"
"18/01/2024","66,009.28","65,353.15","66,197.96","65,333.30","107.21M","1.00%"
"17/01/2024","65,353.15","66,608.24","66,608.24","65,267.58","111.74M","-1.88%"
"16/01/2024","66,608.24","67,253.56","67,267.53","66,458.99","69.63M","-0.96%"
"15/01/2024","67,253.56","67,844.51","67,950.84","66,966.31","80.14M","-0.87%"
"12/01/2024","67,844.51","67,381.69","67,910.50","67,183.41","91.43M","0.69%"
"11/01/2024","67,381.69","67,141.68","67,844.26","67,111.40","75.54M","0.36%"
"10/01/2024","67,141.68","67,347.68","67,478.73","66,918.60","94.69M","-0.31%"
"09/01/2024","67,347.68","67,756.98","68,056.62","67,347.68","68.48M","-0.60%"
"08/01/2024","67,756.98","68,156.39","68,160.64","67,171.65","57.65M","-0.59%"
"05/01/2024","68,156.39","68,195.81","68,227.80","67,433.99","64.44M","-0.06%"
"04/01/2024","68,195.81","68,096.74","68,728.69","68,034.29","64.88M","0.15%"
"03/01/2024","68,096.74","69,337.93","69,337.93","68,096.74","74.08M","-1.79%"
"02/01/2024","69,337.93","70,494.80","70,494.80","69,196.43","55.03M","-1.64%"
"29/12/2023","70,494.80","70,076.25","70,494.80","69,785.31","47.55M","0.60%"
"28/12/2023","70,076.25","70,273.03","70,720.91","70,076.25","61.03M","-0.28%"
"27/12/2023","70,273.03","67,966.89","70,441.57","67,896.32","96.25M","3.39%"
"22/12/2023","67,966.89","69,195.95","69,250.04","67,575.45","41.42M","-1.78%"
"21/12/2023","69,195.95","68,718.28","69,259.47","68,176.05","207.90M","0.70%"
"20/12/2023","68,718.28","68,708.56","69,345.47","68,568.84","73.73M","0.01%"
"19/12/2023","68,708.56","68,201.23","68,708.56","67,883.02","89.58M","0.74%"
"18/12/2023","68,201.23","69,154.73","69,168.30","68,173.08","","-1.38%"
"14/12/2023","69,154.73","66,563.75","69,460.89","66,563.75","347.40M","3.89%"
"13/12/2023","66,563.75","66,496.06","66,916.00","66,171.76","122.49M","0.10%"
"12/12/2023","66,496.06","67,796.69","68,527.05","66,496.06","111.65M","-1.92%"
"11/12/2023","67,796.69","67,667.22","67,809.91","67,106.36","121.26M","0.19%"
